welcome.started,welcome.stopped,intro_key.keys,intro_key.rt,intro_key.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction.started,instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,press_space.started,press_space.stopped,press_space_cont.keys,press_space_cont.rt,press_space_cont.duration,practice_trial.started,practice_trial.stopped,key_pract.keys,key_pract.rt,key_pract.duration,too_slow_practice.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,face,object,transition.started,transition.stopped,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,too_slow_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,too_slow_resp.rt,too_slow_resp.duration,end.started,end.stopped,space_to_exit.keys,space_to_exit.rt,space_to_exit.duration
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,86.2492,86.6329,space,0.3702,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/t5.bmp,,,86.633,87.3676,q,0.3185,,,0,46,46,121,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,87.368,87.8017,space,0.4256,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/t4.bmp,,,87.8018,88.5862,q,0.3713,,,0,47,47,115,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,88.5867,88.9536,space,0.3549,,,,,,,,,,,,,stimuli/b06.bmp,stimuli/g2.bmp,,,88.9536,89.7386,p,0.3805,,,0,48,48,17,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,89.739,90.1392,space,0.3835,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/g4.bmp,,,90.1392,92.0925,,,,space,0,49,49,45,1,1.0355,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,92.093,92.6435,space,0.5347,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/t3.bmp,,,92.6435,93.4281,q,0.3756,,,0,50,50,106,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,93.4287,93.8789,space,0.4421,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/g4.bmp,,,93.8789,94.6136,p,0.3177,,,0,51,51,37,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,94.6141,95.0141,space,0.3877,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/t3.bmp,,,95.0142,95.7657,q,0.3363,,,0,52,52,97,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,95.7661,96.1664,space,0.3914,,,,,,,,,,,,,stimuli/b05.bmp,stimuli/t2.bmp,,,96.1666,96.8674,q,0.2903,,,0,53,53,88,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,96.8679,97.3517,space,0.4716,,,,,,,,,,,,,stimuli/w06.bmp,stimuli/t4.bmp,,,97.3517,98.1869,q,0.4254,,,0,54,54,119,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,98.1873,98.5705,space,0.3672,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/g4.bmp,,,98.5705,99.3217,p,0.3333,,,0,55,55,39,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,99.3222,99.6723,space,0.3445,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/t4.bmp,,,99.6723,100.5069,q,0.4271,,,0,56,56,109,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,100.5074,100.9413,space,0.4273,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/t2.bmp,,,100.9414,101.7093,q,0.3535,,,0,57,57,87,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,101.7108,102.1767,space,0.4599,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/t6.bmp,,,102.1768,103.7294,,,,space,0,58,58,134,1,0.6381,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,103.7299,105.015,space,1.2719,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/t6.bmp,,,105.015,105.8497,q,0.4241,,,0,59,59,142,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,105.8502,106.6011,space,0.7341,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t3.bmp,,,106.6012,107.4359,q,0.4188,,,0,60,60,105,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,107.4364,107.9366,space,0.4867,,,,,,,,,,,,,stimuli/b06.bmp,stimuli/g3.bmp,,,107.9367,108.7213,p,0.369,,,0,61,61,29,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,108.7217,109.122,space,0.3872,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t2.bmp,,,109.122,109.9733,q,0.4354,,,0,62,62,93,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,109.974,110.4244,space,0.4392,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/t2.bmp,,,110.4244,113.6466,,,,space,0,63,63,84,1,2.3072,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,113.6472,114.4145,space,0.7571,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/t1.bmp,,,114.4145,115.1491,q,0.314,,,0,64,64,74,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,115.1495,115.4666,space,0.3045,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/t3.bmp,,,115.4666,116.1174,p,0.2362,,,0,65,65,102,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,116.1178,116.5519,space,0.4167,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/g6.bmp,,,116.5519,117.2863,p,0.3282,,,0,66,66,61,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,117.2868,117.6868,space,0.3937,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/g1.bmp,,,117.6869,118.4885,p,0.3864,,,0,67,67,6,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,118.489,118.8391,space,0.3403,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/g6.bmp,,,118.8392,119.607,p,0.3502,,,0,68,68,66,1,,,,,,,
