welcome.started,welcome.stopped,intro_key.keys,intro_key.rt,intro_key.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction.started,instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,press_space.started,press_space.stopped,press_space_cont.keys,press_space_cont.rt,press_space_cont.duration,practice_trial.started,practice_trial.stopped,key_pract.keys,key_pract.rt,key_pract.duration,too_slow_practice.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,face,object,too_slow_practice.rt,too_slow_practice.duration,transition.started,transition.stopped,press_space_cont_2.keys,press_space_cont_2.rt,press_space_cont_2.duration,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,too_slow_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,too_slow_resp.rt,too_slow_resp.duration,end.started,end.stopped,space_to_exit.keys,space_to_exit.rt,space_to_exit.duration
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,131.2761,131.5923,space,0.3107,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/g1.bmp,,,,,,,,131.5923,132.3097,p,0.2961,,,0,36,36,3,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,132.3103,132.6755,space,0.3498,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/t1.bmp,,,,,,,,132.6757,133.3922,q,0.2842,,,0,37,37,78,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,133.3926,133.7088,space,0.3006,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/g3.bmp,,,,,,,,133.7089,134.4254,p,0.294,,,0,38,38,24,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,134.4258,134.9086,space,0.4698,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/g6.bmp,,,,,,,,134.9087,135.5084,q,0.1697,,,0,39,39,70,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,135.5089,136.1416,space,0.6175,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t6.bmp,,,,,,,,136.1416,136.8913,q,0.3263,,,0,40,40,141,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,136.8919,137.3415,space,0.434,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/t2.bmp,,,,,,,,137.3415,138.1081,q,0.3429,,,0,41,41,94,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,138.1085,138.4748,space,0.3586,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/t2.bmp,,,,,,,,138.4749,139.1425,q,0.2467,,,0,42,42,85,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,139.1433,139.5914,space,0.4326,,,,,,,,,,,,,stimuli/w03.bmp,stimuli/g2.bmp,,,,,,,,139.5914,140.2751,p,0.2547,,,0,43,43,20,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,140.2755,140.7416,space,0.4579,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/t4.bmp,,,,,,,,140.7417,141.4578,q,0.2844,,,0,44,44,111,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,141.4583,141.7918,space,0.3291,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/g4.bmp,,,,,,,,141.7919,142.5573,p,0.3344,,,0,45,45,46,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,142.5578,142.9579,space,0.388,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/t4.bmp,,,,,,,,142.9579,143.7407,q,0.3527,,,0,46,46,115,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,143.7414,144.1073,space,0.356,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/g6.bmp,,,,,,,,144.1073,144.7403,p,0.2113,,,0,47,47,61,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,144.7407,145.1073,space,0.3551,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t1.bmp,,,,,,,,145.1073,145.8569,q,0.3205,,,0,48,48,81,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,145.8573,146.1737,space,0.3061,,,,,,,,,,,,,stimuli/w03.bmp,stimuli/g6.bmp,,,,,,,,146.1738,146.7402,p,0.1452,,,0,49,49,68,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,146.7406,147.2237,space,0.4679,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/g5.bmp,,,,,,,,147.2237,147.9231,p,0.2774,,,0,50,50,49,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,147.9239,148.4238,space,0.4843,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/g3.bmp,,,,,,,,148.4238,148.9566,q,0.1097,,,0,51,51,33,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,148.957,149.5565,space,0.5859,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/g2.bmp,,,,,,,,149.5566,150.1897,p,0.205,,,0,52,52,19,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,150.1902,150.5566,space,0.3607,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/g3.bmp,,,,,,,,150.5566,151.2228,p,0.2395,,,0,53,53,31,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,151.2233,151.6234,space,0.3922,,,,,,,,,,,,,stimuli/w06.bmp,stimuli/t4.bmp,,,,,,,,151.6235,152.2561,q,0.2049,,,0,54,54,119,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,152.2566,152.623,space,0.3568,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/g4.bmp,,,,,,,,152.623,153.2726,p,0.2188,,,0,55,55,37,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,153.273,153.6726,space,0.3863,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/g6.bmp,,,,,,,,153.6727,154.5071,p,0.4135,,,0,56,56,67,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,154.5079,155.0893,space,0.5681,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/g1.bmp,,,,,,,,155.0893,155.7567,p,0.2462,,,0,57,57,7,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,155.7574,156.1723,space,0.4089,,,,,,,,,,,,,stimuli/w06.bmp,stimuli/g4.bmp,,,,,,,,156.1724,156.7887,p,0.1945,,,0,58,58,47,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,156.789,157.2721,space,0.4687,,,,,,,,,,,,,stimuli/w03.bmp,stimuli/g1.bmp,,,,,,,,157.2721,157.8557,p,0.1681,,,0,59,59,8,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,157.8561,158.272,space,0.4014,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/g1.bmp,,,,,,,,158.2721,158.8052,q,0.1083,,,0,60,60,2,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,158.8056,159.3553,space,0.5429,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/g3.bmp,,,,,,,,159.3554,159.9885,p,0.2115,,,0,61,61,27,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,159.9889,160.5384,space,0.54,,,,,,,,,,,,,stimuli/b06.bmp,stimuli/g4.bmp,,,,,,,,160.5384,161.1217,p,0.1543,,,0,62,62,41,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,161.1222,161.5215,space,0.3938,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t3.bmp,,,,,,,,161.5215,162.3219,q,0.383,,,0,63,63,105,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,162.3224,162.6715,space,0.341,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/t4.bmp,,,,,,,,162.6715,163.4378,q,0.3391,,,0,64,64,108,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,163.4382,163.8547,space,0.4048,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/t1.bmp,,,,,,,,163.8547,164.5557,q,0.2794,,,0,65,65,73,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,164.5562,164.8546,space,0.2855,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/t5.bmp,,,,,,,,164.8546,165.7042,q,0.4174,,,0,66,66,127,1,,,,,,,
